Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
C2D_AE_128_3X3_DP,/localscratch/a24ravi.60724515.0/C2D_29_01_2021_14_39/C2D_AE_128_3X3_DP|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_DP|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Dropouts,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,True,0.6732,0.6841,0.6803,0.7021,0.7272,0.7397,0.7397,0.7456,0.5317,0.4856,0.4854,0.5131,0.3724,0.3639,0.3665,0.353,0.4775,0.5321,0.5324,0.4891,0.3184,0.3154,0.3166,0.3077,0.3713,0.3666,0.3666,0.3605,0.3946,0.4127,0.4129,0.3987,0.5531,0.5756,0.5416,0.5753,0.5256,0.4841,0.5057,0.4841,0.5244,0.428,0.4987,0.4282,40791,40791,40791,40791,"11037,6289,13061,10404","15022,2304,18741,4724","11638,5688,14476,8989","15012,2314,18732,4733"
C2D_AE_128_3X3_RES,/localscratch/a24ravi.60787555.0/C2D_30_01_2021_10_55/C2D_AE_128_3X3_RES|_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_RES|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,RESNet,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.7042,0.7107,0.702,0.7148,0.7537,0.7529,0.753,0.7478,0.4938,0.5016,0.5012,0.5133,0.3394,0.3369,0.341,0.3389,0.4866,0.4805,0.4808,0.4846,0.3081,0.3068,0.3093,0.304,0.366,0.3688,0.3687,0.3599,0.408,0.4009,0.4012,0.3951,0.5368,0.6851,0.5538,0.6845,0.5172,0.4647,0.5062,0.4649,0.5187,0.3452,0.4913,0.3457,40791,40791,40791,40791,"10050,7276,12419,11046","17025,301,21536,1929","12626,4700,15443,8022","17020,306,21522,1943"
C2D_AE_128_3X3_RES,/localscratch/a24ravi.60787555.0/C2D_30_01_2021_10_55/C2D_AE_128_3X3_RES|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_RES|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,RESNet,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,True,0.7006,0.6964,0.6877,0.7133,0.7522,0.7548,0.7549,0.7556,0.4956,0.5005,0.5001,0.5137,0.3446,0.3514,0.355,0.3434,0.4867,0.4823,0.4827,0.4838,0.3099,0.3131,0.3152,0.3043,0.3643,0.3691,0.369,0.3584,0.4063,0.4002,0.4005,0.3931,0.5389,0.6774,0.5639,0.6752,0.519,0.4629,0.5119,0.4632,0.5204,0.3426,0.4951,0.3436,40791,40791,40791,40791,"10111,7215,12405,11060","17000,326,21584,1881","12959,4367,15544,7921","16985,341,21557,1908"
C2D_AE_128_3X3_SQZEX,/localscratch/a24ravi.60724478.0/C2D_29_01_2021_14_25/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,SqueezeExcitation,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.7053,0.6919,0.6837,0.7057,0.7563,0.7538,0.7537,0.7453,0.4933,0.4957,0.4954,0.5025,0.3468,0.3494,0.356,0.3455,0.4888,0.4849,0.4851,0.4869,0.3075,0.3135,0.3159,0.3067,0.3614,0.3637,0.3636,0.3603,0.4084,0.4039,0.4042,0.4042,0.6486,0.6812,0.5444,0.6754,0.4541,0.4601,0.5218,0.4605,0.3278,0.3358,0.5224,0.3378,40791,40791,40791,40791,"16944,382,21885,1580","17045,281,21744,1721","10465,6861,12644,10821","17012,314,21692,1773"
C2D_AE_128_3X3_SQZEX,/localscratch/a24ravi.60724515.0/C2D_29_01_2021_14_39/C2D_AE_128_3X3_SQZEX|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_SQZEX|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,SqueezeExcitation,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,True,0.7077,0.7052,0.6972,0.7099,0.7641,0.7629,0.7629,0.758,0.4952,0.499,0.4986,0.5042,0.3425,0.345,0.3509,0.3426,0.4882,0.4836,0.4837,0.4859,0.3066,0.3084,0.3108,0.3055,0.3575,0.3598,0.3598,0.3543,0.4063,0.4009,0.4012,0.4012,0.6369,0.6659,0.5472,0.6656,0.458,0.4645,0.5207,0.4647,0.3396,0.3484,0.5197,0.3489,40791,40791,40791,40791,"16810,516,21592,1873","16915,411,21431,2034","10876,6450,13101,10364","16911,415,21419,2046"
C2D_AE_128_3X3_VAE,/localscratch/a24ravi.60787601.0/C2D_30_01_2021_10_55/C2D_AE_128_3X3_VAE|_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_VAE|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Variational,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.6786,0.6902,0.6791,0.6925,0.7297,0.7391,0.739,0.7483,0.4887,0.5018,0.5015,0.5005,0.3685,0.3621,0.3682,0.3584,0.5074,0.5033,0.5034,0.4848,0.318,0.3152,0.3193,0.3113,0.3701,0.3709,0.371,0.3608,0.4124,0.4042,0.4044,0.4093,0.6361,0.6026,0.5336,0.6038,0.4508,0.4556,0.514,0.4559,0.3221,0.343,0.5155,0.3432,40791,40791,40791,40791,"16924,402,22000,1465","16561,765,21440,2025","9991,7335,12490,10975","16568,758,21438,2027"
CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60787459.0/CLSTM_30_01_2021_11_10/CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SHANGAI_TECH_NORMAL/CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.6002,0.5439,0.5233,0.6191,0.5559,0.5992,0.5804,0.728,0.5795,0.4902,0.4882,0.5157,0.4221,0.451,0.4817,0.4268,0.4321,0.5004,0.499,0.5002,0.3555,0.4035,0.4109,0.352,0.4452,0.422,0.4337,0.3657,0.386,0.4222,0.4241,0.4014,0.585,0.5463,0.5638,0.5514,0.571,0.4767,0.4765,0.4779,0.5733,0.4323,0.4176,0.4309,40791,40791,40791,40791,"10426,6900,10601,12864","14189,3137,18208,5257","14969,2357,18997,4468","14369,2957,18339,5126"
CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N,/localscratch/a24ravi.61026663.0/CLSTM_03_02_2021_04_58/CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SHANGAI_TECH_NORMAL/CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.6255,0.6436,0.6303,0.6941,0.6644,0.6853,0.6833,0.7544,0.4893,0.4837,0.4848,0.4872,0.4148,0.4042,0.4159,0.3477,0.5165,0.523,0.5209,0.5113,0.3552,0.3494,0.3509,0.3183,0.3964,0.398,0.3985,0.3651,0.4248,0.4194,0.4195,0.4154,0.5408,0.5508,0.564,0.5557,0.494,0.4933,0.4869,0.4885,0.4713,0.4607,0.4345,0.4452,39935,39935,39935,39935,"12897,4347,15862,6829","13638,3606,16631,6060","14689,2555,17937,4754","14220,3024,17402,5289"
CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60787459.0/CLSTM_30_01_2021_11_10/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SHANGAI_TECH_NORMAL/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.643,0.6568,0.6282,0.6419,0.7058,0.7085,0.6904,0.7256,0.482,0.4727,0.4733,0.5028,0.3919,0.3872,0.4034,0.3809,0.5209,0.5422,0.5413,0.4892,0.3346,0.33,0.3421,0.3321,0.3654,0.3682,0.3718,0.3574,0.4163,0.4176,0.419,0.4033,0.5454,0.5468,0.5658,0.5482,0.4908,0.4896,0.4696,0.4838,0.4665,0.4627,0.3984,0.448,40791,40791,40791,40791,"13138,4188,16584,6881","13321,4005,16814,6651","15375,1951,19683,3782","13816,3510,17548,5917"
CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N,/localscratch/a24ravi.61026663.0/CLSTM_03_02_2021_04_58/CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SHANGAI_TECH_NORMAL/CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.5492,0.5858,0.5728,0.6816,0.5874,0.6129,0.6064,0.7415,0.5078,0.5097,0.5108,0.4968,0.4566,0.4454,0.4488,0.3644,0.487,0.493,0.4907,0.5494,0.3853,0.3755,0.3736,0.3237,0.4561,0.4464,0.4481,0.3745,0.402,0.3969,0.3976,0.4101,0.552,0.5874,0.6017,0.5988,0.5042,0.4959,0.4896,0.4979,0.4837,0.4399,0.4178,0.438,39935,39935,39935,39935,"12944,4300,15501,7190","15102,2142,17991,4700","15696,1548,18834,3857","15355,1889,18162,4529"
CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60787459.0/CLSTM_30_01_2021_11_10/CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SHANGAI_TECH_NORMAL/CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.6921,0.6822,0.6726,0.6988,0.7467,0.7378,0.7378,0.7412,0.4683,0.471,0.4707,0.4855,0.3513,0.3611,0.3686,0.3533,0.5368,0.534,0.5343,0.5043,0.3122,0.3165,0.3195,0.3093,0.366,0.3725,0.3725,0.3639,0.4233,0.4203,0.4206,0.4178,0.6637,0.6649,0.6198,0.6653,0.4575,0.4574,0.4541,0.4576,0.3329,0.3324,0.334,0.3329,40791,40791,40791,40791,"16983,343,21787,1678","16991,335,21800,1665","16755,571,21698,1767","16990,336,21789,1676"
CRNN_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N,/localscratch/a24ravi.61026663.0/CLSTM_03_02_2021_04_58/CRNN_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SHANGAI_TECH_NORMAL/CRNN_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.5497,0.6021,0.5749,0.6907,0.5865,0.6387,0.635,0.7366,0.4705,0.4667,0.4671,0.4794,0.4658,0.424,0.4459,0.3564,0.5299,0.534,0.5353,0.5372,0.3891,0.3638,0.3731,0.3176,0.4459,0.4185,0.4198,0.3755,0.4318,0.4278,0.428,0.4203,0.5424,0.5514,0.5551,0.5534,0.4795,0.4832,0.4908,0.4819,0.434,0.4355,0.4512,0.4303,39935,39935,39935,39935,"14123,3121,17665,5026","14342,2902,17735,4956","14046,3198,17137,5554","14519,2725,17965,4726"
C2D_AE_128_3X3,/localscratch/a24ravi.60367225.0/C2D_23_01_2021_22_29/C2D_AE_128_3X3|_ADAM_WEIGHTED_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3|_ADAM_WEIGHTED_SUBWAY_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,False,0.7856,0.7716,0.7737,0.7692,0.7856,0.7716,0.7737,0.7692,0.7856,0.7716,0.7737,0.7692,0.2918,0.3017,0.2983,0.3194,0.2918,0.3017,0.2983,0.3194,0.0158,0.016,0.0159,0.016,0.0158,0.016,0.0159,0.016,0.0158,0.016,0.0159,0.016,0.9635,0.963,0.9616,0.9629,0.7157,0.747,0.8356,0.7422,0.8112,0.8323,0.8885,0.8291,21344,21344,21344,21344,"408,172,5896,14868","390,190,5211,15553","330,250,3260,17504","390,190,5313,15451"
C2D_AE_128_3X3,/localscratch/a24ravi.60367225.0/C2D_23_01_2021_22_29/C2D_AE_128_3X3|_ADAM_PSNR_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3|_ADAM_PSNR_SUBWAY_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,PSNR,ADAM,False,False,0.7929,0.7711,0.7732,0.7703,0.7929,0.7711,0.7732,0.7703,0.7929,0.7711,0.7732,0.7703,0.2923,0.3064,0.3053,0.3172,0.2923,0.3064,0.3053,0.3172,0.0157,0.016,0.016,0.016,0.0157,0.016,0.016,0.016,0.0157,0.016,0.016,0.016,0.9668,0.9657,0.9612,0.9659,0.6091,0.6237,0.8645,0.6168,0.7325,0.744,0.9058,0.7386,21344,21344,21344,21344,"482,98,8245,12519","465,115,7917,12847","306,274,2618,18146","469,111,8067,12697"
C2D_AE_128_3X3,/localscratch/a24ravi.60367225.0/C2D_23_01_2021_22_29/C2D_AE_128_3X3|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL_DeNoising/C2D_AE_128_3X3|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL_DeNoising.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,True,False,0.7961,0.7644,0.7664,0.7735,0.7961,0.7644,0.7664,0.7735,0.7961,0.7644,0.7664,0.7735,0.2848,0.3247,0.323,0.3089,0.2848,0.3247,0.323,0.3089,0.0157,0.0161,0.0161,0.0159,0.0157,0.0161,0.0161,0.0159,0.0157,0.0161,0.0161,0.0159,0.966,0.9677,0.9611,0.9674,0.6502,0.5841,0.867,0.5852,0.764,0.7124,0.9072,0.7133,21344,21344,21344,21344,"462,118,7349,13415","498,82,8794,11970","302,278,2560,18204","495,85,8768,11996"
C2D_AE_128_3X3,/localscratch/a24ravi.60367225.0/C2D_23_01_2021_22_29/C2D_AE_128_3X3|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.7901,0.7681,0.7706,0.7677,0.7901,0.7681,0.7706,0.7677,0.7901,0.7681,0.7706,0.7677,0.2931,0.319,0.3159,0.3172,0.2931,0.319,0.3159,0.3172,0.0158,0.0161,0.016,0.016,0.0158,0.0161,0.016,0.016,0.0158,0.0161,0.016,0.016,0.9634,0.9658,0.9609,0.9655,0.7234,0.606,0.8521,0.61,0.8165,0.7302,0.8984,0.7333,21344,21344,21344,21344,"404,176,5727,15037","470,110,8299,12465","308,272,2884,17880","466,114,8210,12554"
C2D_AE_128_3X3,/localscratch/a24ravi.60367225.0/C2D_23_01_2021_22_29/C2D_AE_128_3X3|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL_SVDD/C2D_AE_128_3X3|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL_SVDD.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.797,0.7701,0.7725,0.7747,0.797,0.7701,0.7725,0.7747,0.797,0.7701,0.7725,0.7747,0.2857,0.3072,0.3063,0.3064,0.2857,0.3072,0.3063,0.3064,0.0157,0.016,0.016,0.0159,0.0157,0.016,0.016,0.0159,0.0157,0.016,0.016,0.0159,0.9664,0.9661,0.9609,0.9661,0.6751,0.6075,0.832,0.6022,0.7823,0.7313,0.8863,0.7271,21344,21344,21344,21344,"462,118,6816,13948","474,106,8272,12492","319,261,3324,17440","475,105,8385,12379"
C2D_AE_128_3X3,/localscratch/a24ravi.60482363.0/C2D_25_01_2021_20_04/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_WEIGHTED_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_WEIGHTED_SUBWAY_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,True,0.7862,0.7686,0.7716,0.7716,0.7862,0.7686,0.7716,0.7716,0.7862,0.7686,0.7716,0.7716,0.3001,0.3131,0.3115,0.3259,0.3001,0.3131,0.3115,0.3259,0.0158,0.016,0.016,0.016,0.0158,0.016,0.016,0.016,0.0158,0.016,0.016,0.016,0.9624,0.967,0.9614,0.967,0.7401,0.5994,0.8398,0.5907,0.8278,0.7248,0.891,0.7178,21344,21344,21344,21344,"383,197,5350,15414","487,93,8457,12307","324,256,3163,17601","489,91,8646,12118"
C2D_AE_128_3X3,/localscratch/a24ravi.60482363.0/C2D_25_01_2021_20_04/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_PSNR_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_PSNR_SUBWAY_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,PSNR,ADAM,False,True,0.7915,0.7688,0.7727,0.7675,0.7915,0.7688,0.7727,0.7675,0.7915,0.7688,0.7727,0.7675,0.293,0.3126,0.309,0.3275,0.293,0.3126,0.309,0.3275,0.0157,0.016,0.016,0.016,0.0157,0.016,0.016,0.016,0.0157,0.016,0.016,0.016,0.966,0.9667,0.9612,0.9664,0.6155,0.6179,0.8286,0.6165,0.7376,0.7394,0.8842,0.7383,21344,21344,21344,21344,"471,109,8098,12666","479,101,8054,12710","327,253,3406,17358","476,104,8081,12683"
C2D_AE_128_3X3,/localscratch/a24ravi.60482363.0/C2D_25_01_2021_20_04/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL_DeNoising/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL_DeNoising.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,True,True,0.8018,0.7703,0.7737,0.7726,0.8018,0.7703,0.7737,0.7726,0.8018,0.7703,0.7737,0.7726,0.278,0.3078,0.3069,0.3154,0.278,0.3078,0.3069,0.3154,0.0156,0.016,0.016,0.016,0.0156,0.016,0.016,0.016,0.0156,0.016,0.016,0.016,0.9666,0.9669,0.9612,0.9664,0.6535,0.6428,0.8288,0.6496,0.7665,0.7584,0.8843,0.7636,21344,21344,21344,21344,"470,110,7285,13479","477,103,7522,13242","326,254,3401,17363","468,112,7366,13398"
C2D_AE_128_3X3,/localscratch/a24ravi.60482363.0/C2D_25_01_2021_20_04/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.7984,0.765,0.7689,0.7788,0.7984,0.765,0.7689,0.7788,0.7984,0.765,0.7689,0.7788,0.2822,0.3194,0.3151,0.3124,0.2822,0.3194,0.3151,0.3124,0.0157,0.0161,0.016,0.0159,0.0157,0.0161,0.016,0.0159,0.0157,0.0161,0.016,0.0159,0.9679,0.9663,0.9615,0.9661,0.5963,0.6102,0.8404,0.6065,0.7222,0.7334,0.8914,0.7305,21344,21344,21344,21344,"499,81,8536,12228","476,104,8216,12548","326,254,3152,17612","474,106,8293,12471"
C2D_AE_128_3X3,/localscratch/a24ravi.60530825.0/C2D_26_01_2021_12_50/C2D_AE_128_3X3|_ADAM_MSE_SUBWAY_ENTRANCE_OPTICAL_FLOW/C2D_AE_128_3X3|_ADAM_MSE_SUBWAY_ENTRANCE_OPTICAL_FLOW.pkl,Normal,SUBWAY_ENTRANCE,OPTICAL_FLOW,128,MSE,ADAM,False,False,0.8527,0.8544,0.8507,0.8241,0.8527,0.8544,0.8507,0.8241,0.8527,0.8544,0.8507,0.8241,0.2181,0.2119,0.217,0.2491,0.2181,0.2119,0.217,0.2491,0.0153,0.0152,0.0153,0.0157,0.0153,0.0152,0.0153,0.0157,0.0153,0.0152,0.0153,0.0157,0.9732,0.9746,0.9736,0.9744,0.711,0.6587,0.6584,0.6708,0.8075,0.7697,0.7695,0.7786,21344,21344,21344,21344,"552,28,6141,14623","577,3,7281,13483","563,17,7275,13489","573,7,7020,13744"
C2D_AE_128_3X3,/localscratch/a24ravi.60530825.0/C2D_26_01_2021_12_50/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_OPTICAL_FLOW/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_OPTICAL_FLOW.pkl,Normal,SUBWAY_ENTRANCE,OPTICAL_FLOW,128,MSE,ADAM,False,True,0.8572,0.8541,0.8521,0.8205,0.8572,0.8541,0.8521,0.8205,0.8572,0.8541,0.8521,0.8205,0.2141,0.222,0.2253,0.2521,0.2141,0.222,0.2253,0.2521,0.0152,0.0152,0.0152,0.0157,0.0152,0.0152,0.0152,0.0157,0.0152,0.0152,0.0152,0.0157,0.9744,0.9725,0.9726,0.9726,0.6794,0.7194,0.6639,0.7222,0.7849,0.8134,0.7737,0.8154,21344,21344,21344,21344,"573,7,6835,13929","541,39,5951,14813","550,30,7143,13621","541,39,5890,14874"
C2D_AE_128_3X3_ACB,/localscratch/a24ravi.60484405.0/C2D_25_01_2021_21_24/C2D_AE_128_3X3_ACB|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3_ACB|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL.pkl,ACB,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.7956,0.7915,0.7983,0.7775,0.7956,0.7915,0.7983,0.7775,0.7956,0.7915,0.7983,0.7775,0.2855,0.2853,0.2719,0.3108,0.2855,0.2853,0.2719,0.3108,0.0157,0.0157,0.0156,0.0159,0.0157,0.0157,0.0156,0.0159,0.0157,0.0157,0.0156,0.0159,0.9646,0.9661,0.9619,0.9655,0.7002,0.6917,0.8343,0.6835,0.8003,0.7942,0.8878,0.7884,21344,21344,21344,21344,"429,151,6248,14516","454,126,6455,14309","335,245,3291,17473","448,132,6624,14140"
C2D_AE_128_3X3_ACB,/localscratch/a24ravi.60484405.0/C2D_25_01_2021_21_24/C2D_AE_128_3X3_ACB|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3_ACB|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL.pkl,ACB,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.7896,0.7879,0.7945,0.7824,0.7896,0.7879,0.7945,0.7824,0.7896,0.7879,0.7945,0.7824,0.2948,0.2948,0.2839,0.3066,0.2948,0.2948,0.2839,0.3066,0.0158,0.0158,0.0157,0.0158,0.0158,0.0158,0.0157,0.0158,0.0158,0.0158,0.0157,0.0158,0.9633,0.9684,0.9631,0.9679,0.7428,0.6409,0.7536,0.6453,0.8296,0.7569,0.8367,0.7602,21344,21344,21344,21344,"396,184,5306,15458","497,83,7581,13183","390,190,5069,15695","489,91,7480,13284"
C2D_AE_128_3X3_ATTN,../../VAD_MODEL_TREE/SUBWAY_ENTRANCE/C2D/C2D_AE_128_3X3_ATTN|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3_ATTN|_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.7961,0.7597,0.7632,0.7699,0.7961,0.7597,0.7632,0.7699,0.7961,0.7597,0.7632,0.7699,0.2831,0.3276,0.3236,0.3259,0.2831,0.3276,0.3236,0.3259,0.0157,0.0162,0.0161,0.016,0.0157,0.0162,0.0161,0.016,0.0157,0.0162,0.0161,0.016,0.9665,0.9667,0.9609,0.966,0.6415,0.586,0.8639,0.5968,0.7575,0.714,0.9054,0.7229,21344,21344,21344,21344,"471,109,7543,13221","486,94,8743,12021","301,279,2626,18138","475,105,8500,12264"
C2D_AE_128_3X3_ATTN,../../VAD_MODEL_TREE/SUBWAY_ENTRANCE/C2D/C2D_AE_128_3X3_ATTN|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL/C2D_AE_128_3X3_ATTN|_CONV_ATTENTION_ADAM_MSE_SUBWAY_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.796,0.7613,0.7651,0.7703,0.796,0.7613,0.7651,0.7703,0.796,0.7613,0.7651,0.7703,0.2897,0.3259,0.3209,0.3224,0.2897,0.3259,0.3209,0.3224,0.0157,0.0162,0.0161,0.016,0.0157,0.0162,0.0161,0.016,0.0157,0.0162,0.0161,0.016,0.9668,0.9658,0.9608,0.9659,0.6183,0.6217,0.8592,0.6077,0.7396,0.7424,0.9025,0.7315,21344,21344,21344,21344,"480,100,8048,12716","467,113,7961,12803","302,278,2728,18036","471,109,8264,12500"
